id,project,bug,verdict,note,similarity,num_turns,total_cost_usd,wallclock_s,agent_s,patch_added_lines,patch_removed_lines,input_tokens,output_tokens,cache_read_input_tokens
Chart-1,Chart,1,PLAUSIBLE,all developer tests pass,identical,6,0.0830414,82,26,1,1,12,1003,107667
Chart-2,Chart,2,PLAUSIBLE,all developer tests pass,same-files,15,0.2844250000000001,143,90,20,0,30,7919,436015
Chart-3,Chart,3,PLAUSIBLE,all developer tests pass,identical,7,0.09213539999999999,80,29,2,0,14,1478,127377
Chart-4,Chart,4,PLAUSIBLE,all developer tests pass,identical,6,0.11606419999999999,81,26,2,1,12,1215,135886
Chart-5,Chart,5,PLAUSIBLE,all developer tests pass,same-files,9,0.11850200000000002,87,42,21,1,18,2252,179875
Chart-6,Chart,6,PLAUSIBLE,all developer tests pass,same-files,12,0.1703392,90,44,11,1,24,2117,291446
Chart-7,Chart,7,PLAUSIBLE,all developer tests pass,identical,5,0.0734524,57,20,2,2,10,997,84627
Chart-8,Chart,8,PLAUSIBLE,all developer tests pass,identical,6,0.0794426,61,25,1,1,12,968,106268
Chart-9,Chart,9,PLAUSIBLE,all developer tests pass,same-files,7,0.09271839999999999,73,30,3,0,14,1604,127762
Chart-10,Chart,10,PLAUSIBLE,all developer tests pass,same-files,6,0.0775076,59,23,1,1,12,957,103013
Chart-11,Chart,11,PLAUSIBLE,all developer tests pass,identical,6,0.08131100000000001,68,28,1,1,12,902,108530
Chart-12,Chart,12,PLAUSIBLE,all developer tests pass,identical,11,0.1049086,66,32,1,1,22,1632,201653
Chart-13,Chart,13,PLAUSIBLE,all developer tests pass,same-files,10,0.14238479999999998,75,41,2,2,20,2507,221384
Chart-14,Chart,14,PLAUSIBLE,all developer tests pass,identical,14,0.1805204,85,47,12,0,28,2918,343437
Chart-15,Chart,15,PLAUSIBLE,all developer tests pass,different,18,0.21629640000000003,99,63,7,0,36,3798,425047
Chart-16,Chart,16,PLAUSIBLE,all developer tests pass,same-files,12,0.18196140000000005,75,42,4,3,24,2391,319852
Chart-17,Chart,17,PLAUSIBLE,all developer tests pass,same-files,6,0.075696,65,28,6,1,12,1160,102190
Chart-18,Chart,18,PLAUSIBLE,all developer tests pass,same-files,14,0.2857444,110,72,8,4,28,4349,457222
Chart-19,Chart,19,PLAUSIBLE,all developer tests pass,identical,9,0.1107274,72,32,6,0,18,1649,180922
Chart-20,Chart,20,PLAUSIBLE,all developer tests pass,identical,6,0.07596960000000001,57,20,1,1,10,854,86108
Chart-21,Chart,21,PLAUSIBLE,all developer tests pass,same-files,10,0.18904579999999996,99,73,33,0,20,6281,224964
Chart-22,Chart,22,PLAUSIBLE,all developer tests pass,same-files,19,0.364198,120,89,34,6,38,7030,715555
Chart-23,Chart,23,PLAUSIBLE,all developer tests pass,same-files,10,0.1559308,66,35,21,2,20,1907,227529
Chart-24,Chart,24,PLAUSIBLE,all developer tests pass,identical,6,0.07555800000000001,53,22,1,1,12,757,104390
Chart-25,Chart,25,PLAUSIBLE,all developer tests pass,same-files,10,0.24980140000000003,93,61,34,22,18,6677,268617
Chart-26,Chart,26,PLAUSIBLE,all developer tests pass,same-files,16,0.2233338,86,54,3,1,32,3242,442249
Cli-1,Cli,1,PLAUSIBLE,all developer tests pass,same-files,8,0.09727240000000002,31,18,7,0,16,1061,148287
Cli-2,Cli,2,PLAUSIBLE,all developer tests pass,same-files,19,0.3796608000000001,135,124,9,0,36,10590,587009
Cli-3,Cli,3,PLAUSIBLE,all developer tests pass,same-files,7,0.0955968,34,22,6,1,14,1618,128334
Cli-4,Cli,4,PLAUSIBLE,all developer tests pass,same-files,7,0.089551,29,18,3,0,14,1178,130575
Cli-5,Cli,5,PLAUSIBLE,all developer tests pass,same-files,4,0.0657776,21,11,5,0,8,616,67213
Cli-7,Cli,7,PLAUSIBLE,all developer tests pass,identical,10,0.09954400000000001,33,24,2,2,14,1799,131015
Cli-8,Cli,8,PLAUSIBLE,all developer tests pass,same-files,19,0.27039320000000006,118,107,3,3,38,9174,445806
Cli-9,Cli,9,PLAUSIBLE,all developer tests pass,same-files,5,0.07030199999999999,21,12,4,0,10,728,86035
Cli-10,Cli,10,PLAUSIBLE,all developer tests pass,identical,9,0.0928986,31,23,2,1,18,1590,158858
Cli-11,Cli,11,PLAUSIBLE,all developer tests pass,same-files,8,0.08773700000000001,29,20,1,1,16,1462,140055
Cli-12,Cli,12,PLAUSIBLE,all developer tests pass,same-files,14,0.24775060000000004,98,84,8,1,28,7399,359503
Cli-13,Cli,13,PLAUSIBLE,all developer tests pass,same-files,43,1.0643699999999998,374,360,11,2,84,30552,2268875
Cli-14,Cli,14,PLAUSIBLE,all developer tests pass,same-files,9,0.1414784,43,29,3,6,16,1917,189002
Cli-15,Cli,15,PLAUSIBLE,all developer tests pass,same-files,10,0.1941282,68,50,13,4,20,3703,261481
Cli-16,Cli,16,PLAUSIBLE,all developer tests pass,same-files,32,0.6777154000000001,183,165,15,0,64,12871,1526317
Cli-17,Cli,17,PLAUSIBLE,all developer tests pass,identical,6,0.09119360000000001,36,23,1,0,10,1507,89423
Cli-18,Cli,18,PLAUSIBLE,all developer tests pass,same-files,6,0.131773,54,40,1,0,10,3193,104075
Cli-19,Cli,19,PLAUSIBLE,all developer tests pass,same-files,8,0.10423400000000001,41,25,4,0,14,1819,138200
Cli-20,Cli,20,PLAUSIBLE,all developer tests pass,same-files,18,0.3462824,136,118,16,4,36,10361,552447
Cli-21,Cli,21,PLAUSIBLE,all developer tests pass,different,55,1.6920453999999998,528,515,66,36,92,47514,3736387
Cli-22,Cli,22,PLAUSIBLE,all developer tests pass,same-files,20,0.3467756,126,111,17,3,40,9343,596048
Cli-23,Cli,23,PLAUSIBLE,all developer tests pass,same-files,28,0.5999394000000002,346,333,3,8,56,20212,1077047
Cli-24,Cli,24,PLAUSIBLE,all developer tests pass,identical,12,0.14572580000000002,54,41,2,3,24,2719,256634
Cli-25,Cli,25,PLAUSIBLE,all developer tests pass,identical,10,0.21282720000000002,100,88,1,1,20,8065,220691
Cli-26,Cli,26,PLAUSIBLE,all developer tests pass,same-files,7,0.10000099999999998,28,20,8,1,14,1496,133845
Cli-27,Cli,27,PLAUSIBLE,all developer tests pass,identical,8,0.10511100000000001,27,19,3,3,14,1297,145355
Cli-28,Cli,28,PLAUSIBLE,all developer tests pass,identical,8,0.097735,29,22,1,1,16,1426,149265
Cli-29,Cli,29,PLAUSIBLE,all developer tests pass,same-files,6,0.10246039999999998,41,32,4,7,12,2914,103222
Cli-30,Cli,30,PLAUSIBLE,all developer tests pass,same-files,13,0.22715820000000003,58,49,42,23,26,4252,378496
Cli-31,Cli,31,PLAUSIBLE,all developer tests pass,same-files,22,0.27624099999999996,99,91,14,6,44,7483,544650
Cli-32,Cli,32,PLAUSIBLE,all developer tests pass,same-files,7,0.1227542,43,36,2,8,14,3243,137541
Cli-33,Cli,33,PLAUSIBLE,all developer tests pass,same-files,15,0.1872814,60,52,46,2,30,4214,341362
Cli-34,Cli,34,PLAUSIBLE,all developer tests pass,different,15,0.19684380000000004,51,42,1,1,30,2921,380694
Cli-35,Cli,35,PLAUSIBLE,all developer tests pass,same-files,8,0.0858162,30,21,5,1,16,1321,140766
Cli-36,Cli,36,PLAUSIBLE,all developer tests pass,different,11,0.141387,37,28,2,2,22,1806,241625
